,Unnamed: 0,time,MARKER,pid,L_O_DSI,L_D_DSI,L_O_DSphi,L_D_DSphi,R_O_DSI,R_D_DSI,R_O_DSphi,R_D_DSphi,trial_id,dateTimestamps,floatTimestamps,timestamps,episode,actions,rewards,discounted_rewards,chosen_actions,optimal_actions,states,continuous_optimal,binary_optimal,discrete_optimal
1,1,2024-09-20 21:27:21.001049088,TASK_BEGIN,14,-1.1925962083180812,0.4384559229819413,0.5620795209821493,1.1024119150100768,-1.3156858931876938,0.5464120933594504,0.4969188989269937,0.5294328194902259,1,2024-09-20 21:27:23.296170898,1726867643.296171,2024-09-20 21:27:23.296171008,0,0.0,0.1,0.1,[1. 0.],[0.36525545 0.63474455],"[ 0.98611111  0.33203125  0.52734375  1.          0.          1.
  1.          0.          1.          0.4609375  -0.8         0.46666667]",0.8212071592075504,0,0
2,2,2024-09-20 21:27:21.063053056,TASK_BEGIN,14,-1.2767082474485516,0.4760264948143342,1.197080552377365,0.9498359695011412,-1.3222050833088224,0.5701422201428152,0.503830517744194,0.3106099435968205,1,2024-09-20 21:27:23.296170898,1726867643.296171,2024-09-20 21:27:23.296171008,0,0.0,0.1,0.1,[1. 0.],[0.36525545 0.63474455],"[ 0.98611111  0.33203125  0.52734375  1.          0.          1.
  1.          0.          1.          0.4609375  -0.8         0.46666667]",0.8212071592075504,0,0
3,3,2024-09-20 21:27:21.141626880,TASK_BEGIN,14,-1.360282532797593,0.5150699702177355,1.777895024668975,0.8072566412232852,-1.330835195016192,0.5938694921991687,0.4918485723226879,0.1068889993850336,1,2024-09-20 21:27:23.296170898,1726867643.296171,2024-09-20 21:27:23.296171008,0,0.0,0.1,0.1,[1. 0.],[0.36525545 0.63474455],"[ 0.98611111  0.33203125  0.52734375  1.          0.          1.
  1.          0.          1.          0.4609375  -0.8         0.46666667]",0.8212071592075504,0,0
4,4,2024-09-20 21:27:21.203677952,TASK_BEGIN,14,-1.4423825560256858,0.5560434048912472,2.2863698082188,0.6772865714601756,-1.3418557038955976,0.6172965443462309,0.4544081201927308,-0.0756617322976846,1,2024-09-20 21:27:23.296170898,1726867643.296171,2024-09-20 21:27:23.296171008,0,0.0,0.1,0.1,[1. 0.],[0.36525545 0.63474455],"[ 0.98611111  0.33203125  0.52734375  1.          0.          1.
  1.          0.          1.          0.4609375  -0.8         0.46666667]",0.8212071592075504,0,0
5,5,2024-09-20 21:27:21.265251072,TASK_BEGIN,14,-1.522336552910626,0.5992818495562464,2.710779473716084,0.5614874310800717,-1.3553274351285982,0.6401297485283723,0.3871155374000146,-0.2322260154052642,1,2024-09-20 21:27:23.296170898,1726867643.296171,2024-09-20 21:27:23.296171008,0,0.0,0.1,0.1,[1. 0.],[0.36525545 0.63474455],"[ 0.98611111  0.33203125  0.52734375  1.          0.          1.
  1.          0.          1.          0.4609375  -0.8         0.46666667]",0.8212071592075504,0,0
6,6,2024-09-20 21:27:21.343358976,TASK_BEGIN,14,-1.5998083642461425,0.6450079096213301,3.0460184556692127,0.4603666730888001,-1.3711518586867522,0.66211627408884,0.2877930765950747,-0.3593083184365654,1,2024-09-20 21:27:23.302174072,1726867643.3021748,2024-09-20 21:27:23.302174720,0,0.0,0.1,0.199,[1. 0.],[0.38529696 0.61470304],"[ 0.97222222  0.33203125  0.52734375  1.          0.          1.
  1.          0.          1.          0.44726562 -0.7         0.43333333]",0.8150489210172461,0,0
7,7,2024-09-20 21:27:22.267379200,TASK_BEGIN,14,-1.6747686449747283,0.6933450745768623,3.293303206146488,0.3734766817348022,-1.3891777425235294,0.683074899006847,0.1565306983719225,-0.4547971963095175,1,2024-09-20 21:27:24.721969971,1726867644.72197,2024-09-20 21:27:24.721970176,0,1.0,0.1,2.6029962661171973,[0. 1.],[0.51015666 0.48984334],"[ 0.58333333  0.33203125  0.52734375  1.          0.          1.
  1.          0.          1.          0.41796875 -0.8         0.5       ]",0.8495196886499785,0,0
8,8,2024-09-20 21:27:22.331426048,TASK_BEGIN,14,-1.747375641664454,0.7443252432987998,3.459549006793224,0.2995599702266286,-1.4093127158075451,0.702914215864937,-0.0042366056491013,-0.5180579389194695,1,2024-09-20 21:27:24.721969971,1726867644.72197,2024-09-20 21:27:24.721970176,0,1.0,0.1,2.6029962661171973,[0. 1.],[0.51015666 0.48984334],"[ 0.58333333  0.33203125  0.52734375  1.          0.          1.
  1.          0.          1.          0.41796875 -0.8         0.5       ]",0.8495196886499785,0,0
9,9,2024-09-20 21:27:22.394397952,TASK_BEGIN,14,-1.8178111507549692,0.7978875256648345,3.556352480364986,0.2367176826326164,-1.4315881835074336,0.7216375735791619,-0.1896604698760797,-0.5500179725806651,1,2024-09-20 21:27:24.721969971,1726867644.72197,2024-09-20 21:27:24.721970176,0,1.0,0.1,2.6029962661171973,[0. 1.],[0.51015666 0.48984334],"[ 0.58333333  0.33203125  0.52734375  1.          0.          1.
  1.          0.          1.          0.41796875 -0.8         0.5       ]",0.8495196886499785,0,0
10,10,2024-09-20 21:27:22.456413184,TASK_BEGIN,14,-1.8861398115126635,0.8538769562094247,3.598555233785654,0.1826093925533151,-1.456137449305311,0.7393347567465861,-0.3925046630051438,-0.5531580462466261,1,2024-09-20 21:27:24.721969971,1726867644.72197,2024-09-20 21:27:24.721970176,0,1.0,0.1,2.6029962661171973,[0. 1.],[0.51015666 0.48984334],"[ 0.58333333  0.33203125  0.52734375  1.          0.          1.
  1.          0.          1.          0.41796875 -0.8         0.5       ]",0.8495196886499785,0,0
11,11,2024-09-20 21:27:22.538479104,TASK_BEGIN,14,-1.952243900578948,0.9120524484020808,3.6026409768207657,0.1346681506819853,-1.4830792353770663,0.7561582610589852,-0.6033801273734042,-0.5313345767642705,1,2024-09-20 21:27:24.721969971,1726867644.72197,2024-09-20 21:27:24.721970176,0,1.0,0.1,2.6029962661171973,[0. 1.],[0.51015666 0.48984334],"[ 0.58333333  0.33203125  0.52734375  1.          0.          1.
  1.          0.          1.          0.41796875 -0.8         0.5       ]",0.8495196886499785,0,0
12,12,2024-09-20 21:27:22.606249984,TASK_BEGIN,14,-2.015821292159567,0.9720970659068228,3.585306887806484,0.0902882429471573,-1.512343281438747,0.7722841182692847,-0.8112844789388123,-0.4894197860404839,1,2024-09-20 21:27:24.721969971,1726867644.72197,2024-09-20 21:27:24.721970176,0,1.0,0.1,2.6029962661171973,[0. 1.],[0.51015666 0.48984334],"[ 0.58333333  0.33203125  0.52734375  1.          0.          1.
  1.          0.          1.          0.41796875 -0.8         0.5       ]",0.8495196886499785,0,0
13,13,2024-09-20 21:27:22.674025216,TASK_BEGIN,14,-2.0763912457136344,1.033615429649477,3.562324738883127,0.0469728959676547,-1.5435189172209596,0.7878668950012637,-1.0045128055831192,-0.432824787782936,1,2024-09-20 21:27:24.721969971,1726867644.72197,2024-09-20 21:27:24.721970176,0,1.0,0.1,2.6029962661171973,[0. 1.],[0.51015666 0.48984334],"[ 0.58333333  0.33203125  0.52734375  1.          0.          1.
  1.          0.          1.          0.41796875 -0.8         0.5       ]",0.8495196886499785,0,0
