,Unnamed: 0,time,MARKER,pid,L_O_DSI,L_D_DSI,L_O_DSphi,L_D_DSphi,R_O_DSI,R_D_DSI,R_O_DSphi,R_D_DSphi,trial_id,dateTimestamps,floatTimestamps,timestamps,episode,actions,rewards,discounted_rewards,chosen_actions,optimal_actions,states,continuous_optimal,binary_optimal,discrete_optimal
1,1,2024-09-25 22:19:10.182415104,TASK_BEGIN,18,-0.9214655983657268,0.5099808939885028,0.0718266878592819,0.427550938243698,-0.8378817233276569,0.3329904482110889,2.058547289346611,-0.9886868252130324,0,2024-09-25 22:19:16.509485107,1727302756.5094857,2024-09-25 22:19:16.509485824,0,1.0,0.1,0.8648275251635908,[0.33314379 0.66685621],[0.33314379 0.66685621],"[ 0.875       0.25390625  0.44921875  1.          0.          1.
  1.          0.          1.          0.3359375  -0.8         0.5       ]",0.051272256918236225,0,0
2,2,2024-09-25 22:19:10.248030976,TASK_BEGIN,18,-1.0866637255717009,0.5129080123041672,0.4510059854500765,0.4920004516969694,-0.762422546586847,0.3457090774463022,1.8506377686890665,-0.8969864816675681,0,2024-09-25 22:19:16.560489014,1727302756.5604892,2024-09-25 22:19:16.560489216,0,1.0,0.1,0.9561792499119549,[0.31712838 0.68287162],[0.31712838 0.68287162],"[ 0.86111111  0.25390625  0.44921875  1.          0.          1.
  1.          0.          1.          0.3203125  -0.8         0.5       ]",0.06121724387616445,0,0
3,3,2024-09-25 22:19:10.306906880,TASK_BEGIN,18,-1.245456602279468,0.5169606879870429,0.7991388707608589,0.554631559439546,-0.6959371775815302,0.3596252322786046,1.670095770477868,-0.8139221840421145,0,2024-09-25 22:19:16.611500977,1727302756.611502,2024-09-25 22:19:16.611501824,0,1.0,0.1,1.0466174574128353,[0.30364509 0.69635491],[0.30364509 0.69635491],"[ 0.84722222  0.25390625  0.44921875  1.          0.          1.
  1.          0.          1.          0.3046875  -0.8         0.5       ]",0.07070707648944315,0,0
4,4,2024-09-25 22:19:10.390266880,TASK_BEGIN,18,-1.395125580087094,0.5225682370530178,1.1042047559149577,0.6148096383122371,-0.6422931959768078,0.3753474533038183,1.5279275424086332,-0.742168191621146,0,2024-09-25 22:19:16.713488037,1727302756.7134888,2024-09-25 22:19:16.713488896,0,1.0,0.1,1.22478977001032,[0.29901363 0.70098637],[0.29901363 0.70098637],"[ 0.81944444  0.25390625  0.44921875  1.          0.          1.
  1.          0.          1.          0.2734375  -0.8         0.5       ]",0.07384099684014485,0,0
5,5,2024-09-25 22:19:10.458105856,TASK_BEGIN,18,-1.5333772906999996,0.5300326493830695,1.3581571702441255,0.6715234722729164,-0.6046444809734258,0.3934355887854261,1.432244051964411,-0.6832255013068105,0,2024-09-25 22:19:16.713488037,1727302756.7134888,2024-09-25 22:19:16.713488896,0,1.0,0.1,1.22478977001032,[0.29901363 0.70098637],[0.29901363 0.70098637],"[ 0.81944444  0.25390625  0.44921875  1.          0.          1.
  1.          0.          1.          0.2734375  -0.8         0.5       ]",0.07384099684014485,0,0
6,6,2024-09-25 22:19:10.525978880,TASK_BEGIN,18,-1.6583972498610735,0.5395166333313735,1.557309777847904,0.7234194573163966,-0.5852472197401534,0.4143642322692685,1.387451583945318,-0.6373639459229103,0,2024-09-25 22:19:16.713488037,1727302756.7134888,2024-09-25 22:19:16.713488896,0,1.0,0.1,1.22478977001032,[0.29901363 0.70098637],[0.29901363 0.70098637],"[ 0.81944444  0.25390625  0.44921875  1.          0.          1.
  1.          0.          1.          0.2734375  -0.8         0.5       ]",0.07384099684014485,0,0
7,7,2024-09-25 22:19:11.468229120,TASK_BEGIN,18,-1.7688943123651628,0.5510452210335592,1.7020789737672612,0.7689477573134956,-0.5853520830048037,0.4384858429291014,1.393910929701435,-0.6037514411507188,0,2024-09-25 22:19:17.783697998,1727302757.783698,2024-09-25 22:19:17.783698176,0,0.0,0.1,2.894467727277078,[9.99998507e-01 1.49258581e-06],[9.99998507e-01 1.49258581e-06],"[ 0.52777778  0.25390625  0.44921875  1.          0.          1.
  1.          0.          1.          0.27929688  1.         -0.1       ]",0.4041116297403848,0,0
8,8,2024-09-25 22:19:11.535182848,TASK_BEGIN,18,-1.8641264165675075,0.5645178080107212,1.7962636696405951,0.8065589582719777,-0.6051772022802283,0.4660017276214028,1.4481945070223583,-0.580746587896002,0,2024-09-25 22:19:17.835016846,1727302757.8350174,2024-09-25 22:19:17.835017472,0,0.0,0.1,2.965523050004307,[9.99990460e-01 9.54005876e-06],[9.99990460e-01 9.54005876e-06],"[ 0.51388889  0.25390625  0.44921875  1.          0.          1.
  1.          0.          1.          0.29882812  1.         -0.13333333]",0.4272567299413042,0,0
9,9,2024-09-25 22:19:11.597409024,TASK_BEGIN,18,-1.9438796981129964,0.579725603943645,1.846102775658293,0.8349007050508767,-0.6439415618244899,0.496943033062596,1.5437186481201743,-0.5662559465317127,0,2024-09-25 22:19:17.835016846,1727302757.8350174,2024-09-25 22:19:17.835017472,0,0.0,0.1,2.965523050004307,[9.99990460e-01 9.54005876e-06],[9.99990460e-01 9.54005876e-06],"[ 0.51388889  0.25390625  0.44921875  1.          0.          1.
  1.          0.          1.          0.29882812  1.         -0.13333333]",0.4272567299413042,0,0
10,10,2024-09-25 22:19:11.659075840,TASK_BEGIN,18,-2.008397895930157,0.5963681528185115,1.8592171333543563,0.8530086767011315,-0.6999315117026131,0.5311587218969597,1.6714407076732454,-0.5580425796871108,0,2024-09-25 22:19:17.987665771,1727302757.9876666,2024-09-25 22:19:17.987666688,0,0.0,0.1,3.17445404989613,[0.99756167 0.00243833],[0.99756167 0.00243833],"[ 0.47222222  0.25390625  0.44921875  0.97222222  0.1953125   0.390625
  1.          0.          1.          0.35742188  1.         -0.23333333]",0.5027753993802346,0,0
