,Unnamed: 0,time,MARKER,pid,L_O_DSI,L_D_DSI,L_O_DSphi,L_D_DSphi,R_O_DSI,R_D_DSI,R_O_DSphi,R_D_DSphi,trial_id,dateTimestamps,floatTimestamps,timestamps,episode,actions,rewards,discounted_rewards,chosen_actions,optimal_actions,desired_goal,states,continuous_optimal,binary_optimal,discrete_optimal
1,1,2024-09-14 20:02:39.726689280,TASK_BEGIN,3,-0.2466952490484939,-0.021920189662404,0.957218990206698,-0.5298461333619411,-0.3947808509450745,0.2074330649392596,-2.7244598104152247,0.6178642194565663,3,2024-09-14 20:01:12.168718018,1726344072.1687183,2024-09-14 20:01:12.168718336,1,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",-1.0,-8.64827525163591,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",[ 0.9047046  -0.78321743 -0.34876436  0.18682438],[1.40111229 0.86338853 0.50655843],"[ 1.34246454e+00  7.49380747e-01  5.32749369e-01  1.45824906e+00
  6.60443650e-01  4.24783938e-01  1.15784521e-01 -8.89370971e-02
 -1.07965431e-01  2.23163838e-06  2.05444858e-06 -6.00254485e-10
  9.23468438e-10 -2.19158523e-15 -4.11590467e-05 -2.29972014e-05
  1.55725418e-04  3.36308862e-10 -5.17398261e-10 -3.72258921e-18
  4.11590337e-05  2.29971930e-05 -1.55414908e-04  3.29450813e-07
 -3.27379673e-07]",0.6636840285943594,0,0
2,2,2024-09-14 20:02:39.804956928,TASK_BEGIN,3,-0.3445923872535332,0.0062446296744575,1.7221925841730266,-0.7188255075954614,-0.4554620671828234,0.2285630199506078,-3.0956180321164144,0.6994485078046042,3,2024-09-14 20:01:12.225718994,1726344072.2257197,2024-09-14 20:01:12.225719808,1,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",-1.0,-9.561792499119552,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",[ 0.90440696 -0.78397304 -0.34814325  0.18728952],[1.40111229 0.86338853 0.50655843],"[ 1.34251851e+00  7.49412143e-01  5.32535609e-01  1.45824906e+00
  6.60443650e-01  4.24784173e-01  1.15730545e-01 -8.89684926e-02
 -1.07751436e-01  2.25041732e-06  2.03724913e-06 -3.45432398e-10
  5.31434455e-10 -2.19105326e-15 -4.10353470e-05 -2.29971920e-05
  1.55392628e-04  1.93527808e-10 -2.97735091e-10  2.92749336e-18
  4.10353396e-05  2.29971872e-05 -1.55214447e-04  3.30610586e-07
 -3.29532014e-07]",0.6637885626410742,0,0
3,3,2024-09-14 20:02:39.862233856,TASK_BEGIN,3,-0.4353547708261902,0.03239989082696,2.442295119949638,-0.897514287844835,-0.5147284369888873,0.2492970559432895,-3.4524189331257142,0.7755595097542124,3,2024-09-14 20:01:12.280720947,1726344072.2807214,2024-09-14 20:01:12.280721408,1,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",-1.0,-10.466174574128356,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",[ 0.90410906 -0.7847253  -0.3475229   0.1877533 ],[1.40111229 0.86338853 0.50655843],"[ 1.34257234e+00  7.49443539e-01  5.32322130e-01  1.45824906e+00
  6.60443650e-01  4.24784308e-01  1.15676715e-01 -8.89998890e-02
 -1.07537822e-01  2.27007418e-06  2.01841481e-06 -1.98792523e-10
  3.05834645e-10 -2.19023258e-15 -4.09505960e-05 -2.29974627e-05
  1.55183521e-04  1.11369787e-10 -1.71338125e-10 -1.82577067e-18
  4.09505917e-05  2.29974599e-05 -1.55081272e-04  3.31257211e-07
 -3.30695530e-07]",0.6638909998118104,0,0
4,4,2024-09-14 20:02:39.940339968,TASK_BEGIN,3,-0.5159138717068894,0.0557105579334024,3.101754713594393,-1.0619656683668046,-0.571375133801365,0.2693761853280909,-3.788505028118247,0.8440458912242481,3,2024-09-14 20:01:12.337723877,1726344072.3377242,2024-09-14 20:01:12.337724160,1,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",-1.0,-11.361512828387072,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",[ 0.9037742  -0.78549284 -0.34687966  0.18820134],[1.40111229 0.86338853 0.50655843],"[ 1.34262607e+00  7.49474937e-01  5.32108838e-01  1.45824906e+00
  6.60443650e-01  4.24784385e-01  1.15622986e-01 -8.90312866e-02
 -1.07324453e-01  2.29021871e-06  1.99869863e-06 -1.14404303e-10
  1.76006617e-10 -2.19065050e-15 -4.08946442e-05 -2.29979393e-05
  1.55057359e-04  6.40917677e-11 -9.86027278e-11  1.02960926e-18
  4.08946418e-05  2.29979377e-05 -1.54998684e-04  3.31631403e-07
 -3.31338900e-07]",0.6639949082821958,0,0
5,5,2024-09-14 20:02:40.857956096,TASK_BEGIN,3,-0.5838086658830767,0.0755357561315052,3.689604846360988,-1.2095780177072506,-0.6241507631886807,0.2885395006181977,-4.099382780452012,0.9036359487183974,3,2024-09-14 20:01:12.509759033,1726344072.50976,2024-09-14 20:01:12.509760000,1,"[0.10881805419921875, 0.0009765625, -0.0009765625, 0.0]",-1.0,-13.994164535871148,"[0.10881805419921875, 0.0009765625, -0.0009765625, 0.0]",[ 0.9028582  -0.7878718  -0.34465545  0.18956898],[1.40111229 0.86338853 0.50655843],"[ 1.34599168e+00  7.49569411e-01  5.31549721e-01  1.45824906e+00
  6.60443650e-01  4.24784469e-01  1.12257372e-01 -8.91257609e-02
 -1.06765251e-01  2.34440003e-06  1.94491704e-06 -2.18063502e-11
  3.35482387e-11 -2.19025807e-15 -2.85054681e-03 -2.30401818e-05
  7.88401445e-05  1.22161603e-11 -1.87940947e-11  1.50271827e-18
  2.85054681e-03  2.30401815e-05 -7.88290561e-05  3.33592072e-07
 -3.33550760e-07]",0.6276288916460767,0,0
6,6,2024-09-14 20:02:40.914188032,TASK_BEGIN,3,-0.6372499544277905,0.0914452925139114,4.199841538274091,-1.339139344719942,-0.6717890970790118,0.3065247493999672,-4.382415329049031,0.9539577061975412,3,2024-09-14 20:01:13.320499023,1726344073.3204992,2024-09-14 20:01:13.320499200,1,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",-1.0,-25.282790566840355,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",[ 0.25223234 -0.6935934  -0.67335814  0.63402146],[1.40111229 0.86338853 0.50655843],"[ 1.42900265e+00  7.19697372e-01  5.29563967e-01  1.45824906e+00
  6.60443650e-01  4.24784489e-01  2.92464009e-02 -5.92537220e-02
 -1.04779478e-01  2.25375017e-05  2.17745874e-04 -9.53308931e-15
  1.46721575e-14 -2.18994658e-15  3.68742624e-04 -1.06876453e-06
  9.66849223e-05  5.32696118e-15 -8.21398878e-15  4.01756151e-18
 -3.68742624e-04  1.06876453e-06 -9.66849177e-05 -2.77417170e-05
  2.80124202e-05]",0.622960385556121,0,0
7,7,2024-09-14 20:02:40.993542912,TASK_BEGIN,3,-0.6751524201452692,0.1032165854306998,4.630991366484286,-1.4506801167054133,-0.7130561370113472,0.3230716524042838,-4.636551036313989,0.9954339546420998,3,2024-09-14 20:01:13.320499023,1726344073.3204992,2024-09-14 20:01:13.320499200,1,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",-1.0,-25.282790566840355,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",[ 0.25223234 -0.6935934  -0.67335814  0.63402146],[1.40111229 0.86338853 0.50655843],"[ 1.42900265e+00  7.19697372e-01  5.29563967e-01  1.45824906e+00
  6.60443650e-01  4.24784489e-01  2.92464009e-02 -5.92537220e-02
 -1.04779478e-01  2.25375017e-05  2.17745874e-04 -9.53308931e-15
  1.46721575e-14 -2.18994658e-15  3.68742624e-04 -1.06876453e-06
  9.66849223e-05  5.32696118e-15 -8.21398878e-15  4.01756151e-18
 -3.68742624e-04  1.06876453e-06 -9.66849177e-05 -2.77417170e-05
  2.80124202e-05]",0.622960385556121,0,0
8,8,2024-09-14 20:02:41.061259008,TASK_BEGIN,3,-0.6971368676995378,0.1108149786177268,4.985344499292896,-1.5452082210976783,-0.7468104054421298,0.3379289328761162,-4.86205782417849,1.0291083836243835,3,2024-09-14 20:01:13.320499023,1726344073.3204992,2024-09-14 20:01:13.320499200,1,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",-1.0,-25.282790566840355,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",[ 0.25223234 -0.6935934  -0.67335814  0.63402146],[1.40111229 0.86338853 0.50655843],"[ 1.42900265e+00  7.19697372e-01  5.29563967e-01  1.45824906e+00
  6.60443650e-01  4.24784489e-01  2.92464009e-02 -5.92537220e-02
 -1.04779478e-01  2.25375017e-05  2.17745874e-04 -9.53308931e-15
  1.46721575e-14 -2.18994658e-15  3.68742624e-04 -1.06876453e-06
  9.66849223e-05  5.32696118e-15 -8.21398878e-15  4.01756151e-18
 -3.68742624e-04  1.06876453e-06 -9.66849177e-05 -2.77417170e-05
  2.80124202e-05]",0.622960385556121,0,0
9,9,2024-09-14 20:02:41.115027712,TASK_BEGIN,3,-0.7035012310938834,0.1143620433467624,5.268078716254892,-1.6244046069189984,-0.7720633808009119,0.3508656660872619,-5.060412411249917,1.0564545399881435,3,2024-09-14 20:01:13.320499023,1726344073.3204992,2024-09-14 20:01:13.320499200,1,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",-1.0,-25.282790566840355,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",[ 0.25223234 -0.6935934  -0.67335814  0.63402146],[1.40111229 0.86338853 0.50655843],"[ 1.42900265e+00  7.19697372e-01  5.29563967e-01  1.45824906e+00
  6.60443650e-01  4.24784489e-01  2.92464009e-02 -5.92537220e-02
 -1.04779478e-01  2.25375017e-05  2.17745874e-04 -9.53308931e-15
  1.46721575e-14 -2.18994658e-15  3.68742624e-04 -1.06876453e-06
  9.66849223e-05  5.32696118e-15 -8.21398878e-15  4.01756151e-18
 -3.68742624e-04  1.06876453e-06 -9.66849177e-05 -2.77417170e-05
  2.80124202e-05]",0.622960385556121,0,0
10,10,2024-09-14 20:02:41.192200960,TASK_BEGIN,3,-0.6951733388953049,0.1141010009060119,5.486449831857367,-1.6903375419870308,-0.7880217741960897,0.3616836472553916,-5.234214925499385,1.0791867757360358,3,2024-09-14 20:01:13.320499023,1726344073.3204992,2024-09-14 20:01:13.320499200,1,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",-1.0,-25.282790566840355,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",[ 0.25223234 -0.6935934  -0.67335814  0.63402146],[1.40111229 0.86338853 0.50655843],"[ 1.42900265e+00  7.19697372e-01  5.29563967e-01  1.45824906e+00
  6.60443650e-01  4.24784489e-01  2.92464009e-02 -5.92537220e-02
 -1.04779478e-01  2.25375017e-05  2.17745874e-04 -9.53308931e-15
  1.46721575e-14 -2.18994658e-15  3.68742624e-04 -1.06876453e-06
  9.66849223e-05  5.32696118e-15 -8.21398878e-15  4.01756151e-18
 -3.68742624e-04  1.06876453e-06 -9.66849177e-05 -2.77417170e-05
  2.80124202e-05]",0.622960385556121,0,0
