,Unnamed: 0,time,MARKER,pid,L_O_DSI,L_D_DSI,L_O_DSphi,L_D_DSphi,R_O_DSI,R_D_DSI,R_O_DSphi,R_D_DSphi,trial_id,timestamps,floatTimestamps,dateTimestamps,episode,states,actions,rewards,chosen_actions,optimal_actions,desired_goal,achieved_goal,numDemonstrations,steps,seed,continuous_optimal,binary_optimal,discrete_optimal
1,163,2024-09-18 22:43:47.626821120,TASK_BEGIN,10,1.318702830234275,0.2624346107015697,-1.9904124918246668,0.369369207408823,-0.7961539943319768,-0.54273769712589,3.0239360181580133,0.2205477233882632,3,2024-09-18 22:43:48.007633920,1726699428.007634,2024-09-18 22:43:48.007633996,0,"[ 1.34203376e+00  7.49163152e-01  5.18571157e-01  1.44826306e+00
  7.10774184e-01  4.24757513e-01  1.06229292e-01 -3.83889673e-02
 -9.38136440e-02  2.38118172e-06  1.59088738e-06 -2.88713263e-08
  4.44174251e-08 -1.54940462e-15 -6.40441127e-05 -2.27136149e-05
  5.89943954e-03  1.62724006e-08 -2.50344625e-08  3.34211193e-19
  6.40434870e-05  2.27132083e-05 -5.88420355e-03  1.66617146e-07
  3.27856291e-08]","[0.0009765625, 0.0009765625, -0.24999237060546875, 0.0]",-0.0,"[0.0009765625, 0.0009765625, -0.24999237060546875, 0.0]",[-0.00453881 -0.00198195 -0.00671322  0.00310106],[1.45940814 0.72962426 0.42469975],[1.44826306 0.71077419 0.42470209],8,12,1348,0.2224044454646294,0,0
2,164,2024-09-18 22:43:47.703991040,TASK_BEGIN,10,1.310539447250009,0.2707975162109672,-2.1160743545684024,0.3797344208176787,-0.7829630149598239,-0.5515802309528385,2.9758001766721685,0.2370312105076043,3,2024-09-18 22:43:48.007633920,1726699428.007634,2024-09-18 22:43:48.007633996,0,"[ 1.34203376e+00  7.49163152e-01  5.18571157e-01  1.44826306e+00
  7.10774184e-01  4.24757513e-01  1.06229292e-01 -3.83889673e-02
 -9.38136440e-02  2.38118172e-06  1.59088738e-06 -2.88713263e-08
  4.44174251e-08 -1.54940462e-15 -6.40441127e-05 -2.27136149e-05
  5.89943954e-03  1.62724006e-08 -2.50344625e-08  3.34211193e-19
  6.40434870e-05  2.27132083e-05 -5.88420355e-03  1.66617146e-07
  3.27856291e-08]","[0.0009765625, 0.0009765625, -0.24999237060546875, 0.0]",-0.0,"[0.0009765625, 0.0009765625, -0.24999237060546875, 0.0]",[-0.00453881 -0.00198195 -0.00671322  0.00310106],[1.45940814 0.72962426 0.42469975],[1.44826306 0.71077419 0.42470209],8,12,1348,0.2224044454646294,0,0
3,165,2024-09-18 22:43:47.771848960,TASK_BEGIN,10,1.2994972317615734,0.279015396953897,-2.2301287565741283,0.3912559810634466,-0.7742284854755211,-0.5590303849803268,2.9381982610046524,0.2528548908962884,3,2024-09-18 22:43:48.007633920,1726699428.007634,2024-09-18 22:43:48.007633996,0,"[ 1.34203376e+00  7.49163152e-01  5.18571157e-01  1.44826306e+00
  7.10774184e-01  4.24757513e-01  1.06229292e-01 -3.83889673e-02
 -9.38136440e-02  2.38118172e-06  1.59088738e-06 -2.88713263e-08
  4.44174251e-08 -1.54940462e-15 -6.40441127e-05 -2.27136149e-05
  5.89943954e-03  1.62724006e-08 -2.50344625e-08  3.34211193e-19
  6.40434870e-05  2.27132083e-05 -5.88420355e-03  1.66617146e-07
  3.27856291e-08]","[0.0009765625, 0.0009765625, -0.24999237060546875, 0.0]",-0.0,"[0.0009765625, 0.0009765625, -0.24999237060546875, 0.0]",[-0.00453881 -0.00198195 -0.00671322  0.00310106],[1.45940814 0.72962426 0.42469975],[1.44826306 0.71077419 0.42470209],8,12,1348,0.2224044454646294,0,0
4,166,2024-09-18 22:43:47.839670784,TASK_BEGIN,10,1.2859399858380574,0.2871434448296217,-2.325483768442385,0.4030143879351923,-0.7705210058123041,-0.5646349780125898,2.911399243324636,0.2671288634221495,3,2024-09-18 22:43:48.007633920,1726699428.007634,2024-09-18 22:43:48.007633996,0,"[ 1.34203376e+00  7.49163152e-01  5.18571157e-01  1.44826306e+00
  7.10774184e-01  4.24757513e-01  1.06229292e-01 -3.83889673e-02
 -9.38136440e-02  2.38118172e-06  1.59088738e-06 -2.88713263e-08
  4.44174251e-08 -1.54940462e-15 -6.40441127e-05 -2.27136149e-05
  5.89943954e-03  1.62724006e-08 -2.50344625e-08  3.34211193e-19
  6.40434870e-05  2.27132083e-05 -5.88420355e-03  1.66617146e-07
  3.27856291e-08]","[0.0009765625, 0.0009765625, -0.24999237060546875, 0.0]",-0.0,"[0.0009765625, 0.0009765625, -0.24999237060546875, 0.0]",[-0.00453881 -0.00198195 -0.00671322  0.00310106],[1.45940814 0.72962426 0.42469975],[1.44826306 0.71077419 0.42470209],8,12,1348,0.2224044454646294,0,0
5,167,2024-09-18 22:43:47.907485184,TASK_BEGIN,10,1.2702710285819805,0.2952545886776878,-2.3956889951695493,0.4140233464866495,-0.7719168528700449,-0.5679801153529088,2.896375850325858,0.2789292241886048,3,2024-09-18 22:43:48.007633920,1726699428.007634,2024-09-18 22:43:48.007633996,0,"[ 1.34203376e+00  7.49163152e-01  5.18571157e-01  1.44826306e+00
  7.10774184e-01  4.24757513e-01  1.06229292e-01 -3.83889673e-02
 -9.38136440e-02  2.38118172e-06  1.59088738e-06 -2.88713263e-08
  4.44174251e-08 -1.54940462e-15 -6.40441127e-05 -2.27136149e-05
  5.89943954e-03  1.62724006e-08 -2.50344625e-08  3.34211193e-19
  6.40434870e-05  2.27132083e-05 -5.88420355e-03  1.66617146e-07
  3.27856291e-08]","[0.0009765625, 0.0009765625, -0.24999237060546875, 0.0]",-0.0,"[0.0009765625, 0.0009765625, -0.24999237060546875, 0.0]",[-0.00453881 -0.00198195 -0.00671322  0.00310106],[1.45940814 0.72962426 0.42469975],[1.44826306 0.71077419 0.42470209],8,12,1348,0.2224044454646294,0,0
6,168,2024-09-18 22:43:48.850579968,TASK_BEGIN,10,1.2529979099197848,0.3034383358366662,-2.43564948550577,0.4233156589876997,-0.7779904055434138,-0.5687062244836988,2.894535493156632,0.2873243676173783,3,2024-09-18 22:43:48.454633728,1726699428.4546337,2024-09-18 22:43:48.454632775,0,"[ 1.34247643e+00  7.49415692e-01  5.12289473e-01  1.44826305e+00
  7.10774184e-01  4.24784173e-01  1.05786625e-01 -3.86415081e-02
 -8.75052998e-02  2.27774337e-06  2.00992309e-06 -3.45432403e-10
  5.31434457e-10 -2.18522472e-15 -4.07024612e-05 -2.30011353e-05
  1.56968902e-04  1.93527813e-10 -2.97735090e-10  2.79432577e-18
  4.07024537e-05  2.30011305e-05 -1.56790721e-04  3.31315756e-07
 -3.30237183e-07]","[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",-0.0,"[0.0009765625, 0.0009765625, -0.0009765625, 0.0]",[-0.00453881 -0.00198195 -0.00671322  0.00310106],[1.45940814 0.72962426 0.42469975],[1.44826306 0.71077419 0.42470209],8,12,1348,0.06241825049122788,0,0
7,175,2024-09-18 22:43:50.175961856,TASK_BEGIN,10,1.1432817989969208,0.376016240754076,-1.8003948257851758,0.3802283167869836,-0.8497039363768213,-0.4848840185851821,3.222749749497296,0.1956448515264911,3,2024-09-18 22:43:50.192142848,1726699430.192143,2024-09-18 22:43:50.192141809,1,"[ 1.34427823e+00  7.24800454e-01  5.34336355e-01  1.26943632e+00
  8.83500817e-01  4.24769027e-01 -7.48419099e-02  1.58700364e-01
 -1.09567328e-01  4.28328668e-04  6.82347338e-05 -1.65741696e-08
  2.54987225e-08 -1.97903017e-15  6.41703674e-05  5.86546918e-03
  9.30112444e-05  9.31711992e-09 -1.43340307e-08 -7.89480554e-19
 -6.41707257e-05 -5.86546941e-03 -8.42894125e-05 -4.79598767e-05
  1.04237949e-04]","[0.0009765625, -0.25, -0.0009765625, 0.0]",-1.0,"[0.0009765625, -0.25, -0.0009765625, 0.0]",[-0.33481935  0.99804133 -0.29142198  0.23249133],[1.46273154 0.69675131 0.52801258],[1.26943632 0.88350082 0.42470209],8,501,1349,0.6267942004568651,0,0
8,176,2024-09-18 22:43:50.243840000,TASK_BEGIN,10,1.1334868906083488,0.391320153918897,-1.6138613974713727,0.3552456150548298,-0.8463022260151438,-0.4604444997241245,3.2899424089209144,0.1580729479741321,3,2024-09-18 22:43:50.192142848,1726699430.192143,2024-09-18 22:43:50.192141809,1,"[ 1.34427823e+00  7.24800454e-01  5.34336355e-01  1.26943632e+00
  8.83500817e-01  4.24769027e-01 -7.48419099e-02  1.58700364e-01
 -1.09567328e-01  4.28328668e-04  6.82347338e-05 -1.65741696e-08
  2.54987225e-08 -1.97903017e-15  6.41703674e-05  5.86546918e-03
  9.30112444e-05  9.31711992e-09 -1.43340307e-08 -7.89480554e-19
 -6.41707257e-05 -5.86546941e-03 -8.42894125e-05 -4.79598767e-05
  1.04237949e-04]","[0.0009765625, -0.25, -0.0009765625, 0.0]",-1.0,"[0.0009765625, -0.25, -0.0009765625, 0.0]",[-0.33481935  0.99804133 -0.29142198  0.23249133],[1.46273154 0.69675131 0.52801258],[1.26943632 0.88350082 0.42470209],8,501,1349,0.6267942004568651,0,0
9,177,2024-09-18 22:43:50.311508736,TASK_BEGIN,10,1.1243657849894724,0.4085354382691988,-1.4225060588263323,0.3265312928379366,-0.8361253180339336,-0.4335943362523387,3.351241074264569,0.1156841471972037,3,2024-09-18 22:43:50.192142848,1726699430.192143,2024-09-18 22:43:50.192141809,1,"[ 1.34427823e+00  7.24800454e-01  5.34336355e-01  1.26943632e+00
  8.83500817e-01  4.24769027e-01 -7.48419099e-02  1.58700364e-01
 -1.09567328e-01  4.28328668e-04  6.82347338e-05 -1.65741696e-08
  2.54987225e-08 -1.97903017e-15  6.41703674e-05  5.86546918e-03
  9.30112444e-05  9.31711992e-09 -1.43340307e-08 -7.89480554e-19
 -6.41707257e-05 -5.86546941e-03 -8.42894125e-05 -4.79598767e-05
  1.04237949e-04]","[0.0009765625, -0.25, -0.0009765625, 0.0]",-1.0,"[0.0009765625, -0.25, -0.0009765625, 0.0]",[-0.33481935  0.99804133 -0.29142198  0.23249133],[1.46273154 0.69675131 0.52801258],[1.26943632 0.88350082 0.42470209],8,501,1349,0.6267942004568651,0,0
10,178,2024-09-18 22:43:50.378789120,TASK_BEGIN,10,1.115287158346531,0.4277385416955022,-1.2358734966911848,0.2950431455891694,-0.8190045721741606,-0.4048148713354199,3.4007710399610245,0.0702651314982137,3,2024-09-18 22:43:50.192142848,1726699430.192143,2024-09-18 22:43:50.192141809,1,"[ 1.34427823e+00  7.24800454e-01  5.34336355e-01  1.26943632e+00
  8.83500817e-01  4.24769027e-01 -7.48419099e-02  1.58700364e-01
 -1.09567328e-01  4.28328668e-04  6.82347338e-05 -1.65741696e-08
  2.54987225e-08 -1.97903017e-15  6.41703674e-05  5.86546918e-03
  9.30112444e-05  9.31711992e-09 -1.43340307e-08 -7.89480554e-19
 -6.41707257e-05 -5.86546941e-03 -8.42894125e-05 -4.79598767e-05
  1.04237949e-04]","[0.0009765625, -0.25, -0.0009765625, 0.0]",-1.0,"[0.0009765625, -0.25, -0.0009765625, 0.0]",[-0.33481935  0.99804133 -0.29142198  0.23249133],[1.46273154 0.69675131 0.52801258],[1.26943632 0.88350082 0.42470209],8,501,1349,0.6267942004568651,0,0
