,Unnamed: 0,time,MARKER,pid,L_O_DSI,L_D_DSI,L_O_DSphi,L_D_DSphi,R_O_DSI,R_D_DSI,R_O_DSphi,R_D_DSphi,trial_id,dateTimestamps,floatTimestamps,timestamps,episode,actions,rewards,discounted_rewards,chosen_actions,optimal_actions,states,continuous_optimal,binary_optimal,discrete_optimal
1,1,2024-09-19 21:19:02.099724032,TASK_BEGIN,11,1.1814397889422636,0.3728587401442025,4.150241419384128,-1.4731244875671132,1.0428839806759131,-0.3562635294858249,0.6226686743899496,0.8062803221551081,2,2024-09-19 21:19:04.110728027,1726780744.110728,2024-09-19 21:19:04.110727936,0,0,-2.7098737118337795,-27.31958097031424,[1. 0. 0. 0.],[0.40360758 0.06763562 0.05100343 0.47775337],"[ -0.02087212   0.9607185   -0.18216054  -0.3638645    0.05880563
   0.0686931    0.           0.           0.2         -0.22087212
 -11.917103  ]",1.5106152656847744,0,0
2,2,2024-09-19 21:19:02.177383168,TASK_BEGIN,11,1.301953440871308,0.3271580571263552,4.251268079347062,-1.533220884948656,1.139376856379292,-0.3490412035242232,2.6155887295426727,0.3113570174914633,2,2024-09-19 21:19:04.168725098,1726780744.1687257,2024-09-19 21:19:04.168725760,0,0,-2.7696965864302143,-32.26043778504332,[1. 0. 0. 0.],[0.38277271 0.05841061 0.05420677 0.50460991],"[ -0.02333395   0.9481534   -0.18224695  -0.41509476   0.06567014
   0.06865523   0.           0.           0.2         -0.22333394
 -11.816582  ]",1.5119560749867706,0,0
3,3,2024-09-19 21:19:02.239383040,TASK_BEGIN,11,1.4145303948187478,0.2837257680221832,4.358012087664674,-1.5938742987805237,1.2311675182203938,-0.3429839180563835,4.490376398165976,-0.154471337135633,2,2024-09-19 21:19:04.255728027,1726780744.2557285,2024-09-19 21:19:04.255728384,0,0,-2.8307378467615223,-39.65572280468,[1. 0. 0. 0.],[0.33094747 0.04743622 0.08055272 0.54106359],"[ -0.02702896   0.92630506  -0.18237501  -0.49194226   0.07595996
   0.06859963   0.           0.           0.2         -0.22702895
 -11.641795  ]",1.5154306329299898,0,0
4,4,2024-09-19 21:19:02.317049088,TASK_BEGIN,11,1.5159298532204677,0.243442895820103,4.469739025384601,-1.6546840556542215,1.3156698557285995,-0.3386908768892774,6.203020228696021,-0.5812385687359303,2,2024-09-19 21:19:04.313725830,1726780744.3137262,2024-09-19 21:19:04.313726208,0,0,-3.1263054886764223,-44.81034844747926,[1. 0. 0. 0.],[0.3117972  0.04438144 0.10155836 0.54226299],"[ -0.02947688   0.9097078   -0.18147321  -0.54527664   0.08381911
   0.08862417   0.           0.           0.2         -0.22947688
 -11.509017  ]",1.5190172359716008,0,0
5,5,2024-09-19 21:19:02.384751872,TASK_BEGIN,11,1.603832836853002,0.2069609321365328,4.5843645830437,-1.715141814577987,1.390592298618699,-0.3366886433064047,7.720659891172915,-0.9617988530293532,2,2024-09-19 21:19:04.400724854,1726780744.400726,2024-09-19 21:19:04.400726016,0,0,-2.8899966884253274,-52.25267502882347,[1. 0. 0. 0.],[0.28148928 0.03759936 0.14491374 0.53599761],"[ -0.03316379   0.88165927  -0.18195456  -0.6242687    0.09410257
   0.06855637   0.           0.           0.2         -0.23316379
 -11.284629  ]",1.5224663192597783,0,0
6,6,2024-09-19 21:19:02.441123072,TASK_BEGIN,11,1.67695550625317,0.1746505852747004,4.698479215142576,-1.7746425232298764,1.4539590865750451,-0.3374022253932447,9.022755174400748,-1.291882171386427,2,2024-09-19 21:19:04.429724854,1726780744.4297252,2024-09-19 21:19:04.429725184,0,0,-2.8981059962274145,-54.62825427476265,[1. 0. 0. 0.],[0.26697144 0.0345559  0.1600594  0.53841325],"[ -0.03439276   0.87151     -0.18195398  -0.64987314   0.09753036
   0.06855613   0.           0.           0.2         -0.23439275
 -11.203435  ]",1.524068391598928,0,0
7,7,2024-09-19 21:19:03.397915904,TASK_BEGIN,11,1.7350344995850535,0.1465780164140208,4.807531859194116,-1.832511842765428,1.5041154511799626,-0.3411377426048079,10.101368175819822,-1.5699875494063409,2,2024-09-19 21:19:04.752729004,1726780744.7527294,2024-09-19 21:19:04.752729344,0,0,-2.9499650996828564,-79.58793050685729,[1. 0. 0. 0.],[0.1152204  0.01363092 0.39337658 0.4777721 ],"[ -0.04791228   0.73347545  -0.18194585  -0.9315213    0.13523568
   0.06855445   0.           0.           0.2         -0.24791227
 -10.099158  ]",1.5377948054516146,0,0
8,8,2024-09-19 21:19:03.465502976,TASK_BEGIN,11,1.7787172639222522,0.1225138774958749,4.906206099759571,-1.8880509683884996,1.5397448203689146,-0.3480751060242367,10.960325109065812,-1.7971431516882932,2,2024-09-19 21:19:04.752729004,1726780744.7527294,2024-09-19 21:19:04.752729344,0,0,-2.9499650996828564,-79.58793050685729,[1. 0. 0. 0.],[0.1152204  0.01363092 0.39337658 0.4777721 ],"[ -0.04791228   0.73347545  -0.18194585  -0.9315213    0.13523568
   0.06855445   0.           0.           0.2         -0.24791227
 -10.099158  ]",1.5377948054516146,0,0
9,9,2024-09-19 21:19:03.533204992,TASK_BEGIN,11,1.8094061758020843,0.1019698936955093,4.988952341945404,-1.940579545893098,1.5599084424935057,-0.3582737841331926,11.613080795665914,-1.97647974578042,2,2024-09-19 21:19:04.752729004,1726780744.7527294,2024-09-19 21:19:04.752729344,0,0,-2.9499650996828564,-79.58793050685729,[1. 0. 0. 0.],[0.1152204  0.01363092 0.39337658 0.4777721 ],"[ -0.04791228   0.73347545  -0.18194585  -0.9315213    0.13523568
   0.06855445   0.           0.           0.2         -0.24791227
 -10.099158  ]",1.5377948054516146,0,0
10,10,2024-09-19 21:19:03.588758016,TASK_BEGIN,11,1.8290752439852416,0.0842546180901249,5.050579631872315,-1.9894604160991984,1.5640976341065178,-0.3716979394418468,12.079759249530358,-2.1126506521707973,2,2024-09-19 21:19:04.956724854,1726780744.9567258,2024-09-19 21:19:04.956725760,0,0,-2.1719417900585256,-89.04382066959205,[1. 0. 0. 0.],[0.19876179 0.02985827 0.50829228 0.26308766],"[-0.05458856  0.6207303  -0.11459997 -1.1055615   0.12047358 -0.08816589
  0.          0.          0.2        -0.25458854 -9.197197  ]",1.5285271380492462,0,0
