,Unnamed: 0,time,MARKER,pid,L_O_DSI,L_D_DSI,L_O_DSphi,L_D_DSphi,R_O_DSI,R_D_DSI,R_O_DSphi,R_D_DSphi,trial_id,dateTimestamps,floatTimestamps,timestamps,episode,actions,rewards,discounted_rewards,chosen_actions,optimal_actions,desired_goal,states,continuous_optimal,binary_optimal,discrete_optimal
1,1,2024-09-19 22:40:47.642006016,TASK_BEGIN,12,2.109601938152413,-0.9900275025645188,6.287336515937056,-1.172427328938349,1.4060140468447635,-0.7211931869925419,0.0208682381352829,-0.7496821544262195,2,2024-09-19 22:40:49.947321777,1726785649.9473228,2024-09-19 22:40:49.947322880,0,[ 0.9980295   0.8158994  -0.0209049  -0.28955916],-1.0,-1.0,[ 0.9980295   0.8158994  -0.0209049  -0.28955916],[ 0.9980295   0.8158994  -0.0209049  -0.28955916],[1.27522129 0.66374218 0.72739028],"[ 1.37123310e+00  7.74440664e-01  5.33776289e-01  1.47116191e+00
  8.80369070e-01  4.24737381e-01  9.99288177e-02  1.05928406e-01
 -1.09038907e-01  7.88499543e-05  7.52686368e-04 -5.03884423e-08
  7.75206804e-08 -2.38648100e-16 -2.55651240e-02 -2.15283717e-02
  8.04483678e-04  2.85323085e-08 -4.38958592e-08 -4.59659651e-19
  2.55651229e-02  2.15283710e-02 -7.77818120e-04  3.59028086e-04
  3.61470904e-04]",1.2688398361206055,0,0
2,2,2024-09-19 22:40:47.704493824,TASK_BEGIN,12,2.229624300358028,-1.141624338737833,5.999369039848295,-1.050290577892571,1.1008097837290678,-0.7259045630522879,-2.282013664923481,-0.2193134697381057,2,2024-09-19 22:40:49.947321777,1726785649.9473228,2024-09-19 22:40:49.947322880,0,[ 0.9980295   0.8158994  -0.0209049  -0.28955916],-1.0,-1.0,[ 0.9980295   0.8158994  -0.0209049  -0.28955916],[ 0.9980295   0.8158994  -0.0209049  -0.28955916],[1.27522129 0.66374218 0.72739028],"[ 1.37123310e+00  7.74440664e-01  5.33776289e-01  1.47116191e+00
  8.80369070e-01  4.24737381e-01  9.99288177e-02  1.05928406e-01
 -1.09038907e-01  7.88499543e-05  7.52686368e-04 -5.03884423e-08
  7.75206804e-08 -2.38648100e-16 -2.55651240e-02 -2.15283717e-02
  8.04483678e-04  2.85323085e-08 -4.38958592e-08 -4.59659651e-19
  2.55651229e-02  2.15283710e-02 -7.77818120e-04  3.59028086e-04
  3.61470904e-04]",1.2688398361206055,0,0
3,3,2024-09-19 22:40:47.785742848,TASK_BEGIN,12,2.337341924764896,-1.288230530287378,5.752541513308781,-0.9432120752038412,0.8100864386642929,-0.7318286658219174,-4.42538076155257,0.2785759909380249,2,2024-09-19 22:40:50.515317871,1726785650.5153189,2024-09-19 22:40:50.515318784,0,[ 0.6824922   0.3678357  -0.94644535 -0.15381582],-1.0,-5.8519850599,[ 0.6824922   0.3678357  -0.94644535 -0.15381582],[ 0.6824922   0.3678357  -0.94644535 -0.15381582],[1.27522129 0.66374218 0.72739028],"[ 1.47599757e+00  8.75261101e-01  4.45431784e-01  1.47116191e+00
  8.80369069e-01  4.24781571e-01 -4.83565397e-03  5.10796795e-03
 -2.06502134e-02  3.97472734e-02  3.96767129e-02 -3.15070137e-09
  4.84723287e-09 -2.18436692e-15 -1.52861143e-02 -7.94413242e-03
  2.33232888e-02  1.76619284e-09 -2.71721976e-09  1.00784837e-18
  1.52861142e-02  7.94413238e-03 -2.33216449e-02 -1.76071578e-02
 -1.79801756e-02]",1.3450486660003662,0,0
4,4,2024-09-19 22:40:47.844544000,TASK_BEGIN,12,2.427717208093041,-1.4273944215333811,5.559154754805079,-0.8559432962582477,0.5409359363643792,-0.7394441948698787,-6.352568610824417,0.7320228728277834,2,2024-09-19 22:40:50.515317871,1726785650.5153189,2024-09-19 22:40:50.515318784,0,[ 0.6824922   0.3678357  -0.94644535 -0.15381582],-1.0,-5.8519850599,[ 0.6824922   0.3678357  -0.94644535 -0.15381582],[ 0.6824922   0.3678357  -0.94644535 -0.15381582],[1.27522129 0.66374218 0.72739028],"[ 1.47599757e+00  8.75261101e-01  4.45431784e-01  1.47116191e+00
  8.80369069e-01  4.24781571e-01 -4.83565397e-03  5.10796795e-03
 -2.06502134e-02  3.97472734e-02  3.96767129e-02 -3.15070137e-09
  4.84723287e-09 -2.18436692e-15 -1.52861143e-02 -7.94413242e-03
  2.33232888e-02  1.76619284e-09 -2.71721976e-09  1.00784837e-18
  1.52861142e-02  7.94413238e-03 -2.33216449e-02 -1.76071578e-02
 -1.79801756e-02]",1.3450486660003662,0,0
5,5,2024-09-19 22:40:48.784873984,TASK_BEGIN,12,2.497241762456365,-1.556781523240046,5.429938741205151,-0.7921914407894666,0.298937640774538,-0.7490622362474212,-8.020349044861723,1.1312288910462978,2,2024-09-19 22:40:51.372220947,1726785651.372222,2024-09-19 22:40:51.372221952,0,[-0.84743834 -0.69252884  0.99807745 -0.22181727],-1.0,-13.12541872310217,[-0.84743834 -0.69252884  0.99807745 -0.22181727],[-0.84743834 -0.69252884  0.99807745 -0.22181727],[1.27522129 0.66374218 0.72739028],"[ 1.32705221e+00  7.64877702e-01  6.76377244e-01  1.32425031e+00
  7.64476722e-01  6.57674885e-01 -2.80190540e-03 -4.00979708e-04
 -1.87023585e-02  2.39369148e-02  2.41847776e-02 -4.35965088e-04
  2.97212308e-03  1.46238335e-02  6.05646764e-04  1.09498208e-04
  4.20832982e-04  9.06871395e-04 -3.27602676e-04  7.05845633e-04
 -2.07701084e-02 -1.65495247e-02  2.31690813e-02  5.16422741e-05
 -6.96178493e-05]",1.570427656173706,0,0
6,6,2024-09-19 22:40:48.865072896,TASK_BEGIN,12,2.5439833107631267,-1.67417927848487,5.373220996394586,-0.7542696579138877,0.087923566314045,-0.7607762158929757,-9.400811086529904,1.469110965895156,2,2024-09-19 22:40:51.372220947,1726785651.372222,2024-09-19 22:40:51.372221952,0,[-0.84743834 -0.69252884  0.99807745 -0.22181727],-1.0,-13.12541872310217,[-0.84743834 -0.69252884  0.99807745 -0.22181727],[-0.84743834 -0.69252884  0.99807745 -0.22181727],[1.27522129 0.66374218 0.72739028],"[ 1.32705221e+00  7.64877702e-01  6.76377244e-01  1.32425031e+00
  7.64476722e-01  6.57674885e-01 -2.80190540e-03 -4.00979708e-04
 -1.87023585e-02  2.39369148e-02  2.41847776e-02 -4.35965088e-04
  2.97212308e-03  1.46238335e-02  6.05646764e-04  1.09498208e-04
  4.20832982e-04  9.06871395e-04 -3.27602676e-04  7.05845633e-04
 -2.07701084e-02 -1.65495247e-02  2.31690813e-02  5.16422741e-05
 -6.96178493e-05]",1.570427656173706,0,0
7,7,2024-09-19 22:40:48.932080128,TASK_BEGIN,12,2.5674574729184707,-1.7775026723807092,5.394278178906354,-0.7428549329545937,-0.0901544060438826,-0.7744186313970542,-10.48126031798317,1.74156414062148,2,2024-09-19 22:40:51.372220947,1726785651.372222,2024-09-19 22:40:51.372221952,0,[-0.84743834 -0.69252884  0.99807745 -0.22181727],-1.0,-13.12541872310217,[-0.84743834 -0.69252884  0.99807745 -0.22181727],[-0.84743834 -0.69252884  0.99807745 -0.22181727],[1.27522129 0.66374218 0.72739028],"[ 1.32705221e+00  7.64877702e-01  6.76377244e-01  1.32425031e+00
  7.64476722e-01  6.57674885e-01 -2.80190540e-03 -4.00979708e-04
 -1.87023585e-02  2.39369148e-02  2.41847776e-02 -4.35965088e-04
  2.97212308e-03  1.46238335e-02  6.05646764e-04  1.09498208e-04
  4.20832982e-04  9.06871395e-04 -3.27602676e-04  7.05845633e-04
 -2.07701084e-02 -1.65495247e-02  2.31690813e-02  5.16422741e-05
 -6.96178493e-05]",1.570427656173706,0,0
8,8,2024-09-19 22:40:48.985480960,TASK_BEGIN,12,2.568410931179721,-1.8648217042094253,5.4949943797438925,-0.7569380884010835,-0.2352032019500642,-0.7895523683458735,-11.262453020047746,1.9474113707632263,2,2024-09-19 22:40:51.372220947,1726785651.372222,2024-09-19 22:40:51.372221952,0,[-0.84743834 -0.69252884  0.99807745 -0.22181727],-1.0,-13.12541872310217,[-0.84743834 -0.69252884  0.99807745 -0.22181727],[-0.84743834 -0.69252884  0.99807745 -0.22181727],[1.27522129 0.66374218 0.72739028],"[ 1.32705221e+00  7.64877702e-01  6.76377244e-01  1.32425031e+00
  7.64476722e-01  6.57674885e-01 -2.80190540e-03 -4.00979708e-04
 -1.87023585e-02  2.39369148e-02  2.41847776e-02 -4.35965088e-04
  2.97212308e-03  1.46238335e-02  6.05646764e-04  1.09498208e-04
  4.20832982e-04  9.06871395e-04 -3.27602676e-04  7.05845633e-04
 -2.07701084e-02 -1.65495247e-02  2.31690813e-02  5.16422741e-05
 -6.96178493e-05]",1.570427656173706,0,0
9,9,2024-09-19 22:40:49.062622976,TASK_BEGIN,12,2.548588137322478,-1.934420233451344,5.673778570275624,-0.7939902584837351,-0.3487579412421426,-0.8055123246150616,-11.756124838858591,2.0881182606313726,2,2024-09-19 22:40:51.372220947,1726785651.372222,2024-09-19 22:40:51.372221952,0,[-0.84743834 -0.69252884  0.99807745 -0.22181727],-1.0,-13.12541872310217,[-0.84743834 -0.69252884  0.99807745 -0.22181727],[-0.84743834 -0.69252884  0.99807745 -0.22181727],[1.27522129 0.66374218 0.72739028],"[ 1.32705221e+00  7.64877702e-01  6.76377244e-01  1.32425031e+00
  7.64476722e-01  6.57674885e-01 -2.80190540e-03 -4.00979708e-04
 -1.87023585e-02  2.39369148e-02  2.41847776e-02 -4.35965088e-04
  2.97212308e-03  1.46238335e-02  6.05646764e-04  1.09498208e-04
  4.20832982e-04  9.06871395e-04 -3.27602676e-04  7.05845633e-04
 -2.07701084e-02 -1.65495247e-02  2.31690813e-02  5.16422741e-05
 -6.96178493e-05]",1.570427656173706,0,0
10,10,2024-09-19 22:40:49.125108992,TASK_BEGIN,12,2.510533915540794,-1.98488383261806,5.925683131850327,-0.8503297336945811,-0.4335688328548393,-0.8214840985235984,-11.982501286006018,2.167360568481138,2,2024-09-19 22:40:51.372220947,1726785651.372222,2024-09-19 22:40:51.372221952,0,[-0.84743834 -0.69252884  0.99807745 -0.22181727],-1.0,-13.12541872310217,[-0.84743834 -0.69252884  0.99807745 -0.22181727],[-0.84743834 -0.69252884  0.99807745 -0.22181727],[1.27522129 0.66374218 0.72739028],"[ 1.32705221e+00  7.64877702e-01  6.76377244e-01  1.32425031e+00
  7.64476722e-01  6.57674885e-01 -2.80190540e-03 -4.00979708e-04
 -1.87023585e-02  2.39369148e-02  2.41847776e-02 -4.35965088e-04
  2.97212308e-03  1.46238335e-02  6.05646764e-04  1.09498208e-04
  4.20832982e-04  9.06871395e-04 -3.27602676e-04  7.05845633e-04
 -2.07701084e-02 -1.65495247e-02  2.31690813e-02  5.16422741e-05
 -6.96178493e-05]",1.570427656173706,0,0
