,Unnamed: 0,time,MARKER,pid,L_O_DSI,L_D_DSI,L_O_DSphi,L_D_DSphi,R_O_DSI,R_D_DSI,R_O_DSphi,R_D_DSphi,trial_id,dateTimestamps,floatTimestamps,timestamps,episode,actions,rewards,discounted_rewards,chosen_actions,optimal_actions,states,continuous_optimal,binary_optimal,discrete_optimal
1,1,2024-09-27 16:25:10.129204224,TASK_BEGIN,21,0.0055603090894727,-0.0906827511412989,-0.1132845637521254,0.6771748735791664,0.7201397507209034,0.2074364111093905,-19.732905144466237,3.3158831714145123,0,2024-09-27 16:25:10.077692871,1727454310.077694,2024-09-27 16:25:10.077693952,0,1.0,0.1,0.7725530557207989,[0.29880418 0.70119582],[0.29880418 0.70119582],"[ 0.88888889  0.33203125  0.52734375  1.          0.          1.
  1.          0.          1.          0.3515625  -0.8         0.5       ]",0.06905623367687098,0,0
2,2,2024-09-27 16:25:10.196107008,TASK_BEGIN,21,-0.0052079571057698,-0.050019514319194,-0.9749096709309052,1.053493676747357,0.1387209771622255,0.346927421080052,-18.583664046935045,3.613055518969085,0,2024-09-27 16:25:10.077692871,1727454310.077694,2024-09-27 16:25:10.077693952,0,1.0,0.1,0.7725530557207989,[0.29880418 0.70119582],[0.29880418 0.70119582],"[ 0.88888889  0.33203125  0.52734375  1.          0.          1.
  1.          0.          1.          0.3515625  -0.8         0.5       ]",0.06905623367687098,0,0
3,3,2024-09-27 16:25:10.262751232,TASK_BEGIN,21,-0.0127810418594288,-0.0122643287064888,-1.791710581788146,1.4068810707274095,-0.4049306401258925,0.47939699217078,-17.49844164940782,3.898575756448924,0,2024-09-27 16:25:10.077692871,1727454310.077694,2024-09-27 16:25:10.077693952,0,1.0,0.1,0.7725530557207989,[0.29880418 0.70119582],[0.29880418 0.70119582],"[ 0.88888889  0.33203125  0.52734375  1.          0.          1.
  1.          0.          1.          0.3515625  -0.8         0.5       ]",0.06905623367687098,0,0
4,4,2024-09-27 16:25:10.332300032,TASK_BEGIN,21,-0.0163404217448383,0.0214127784855766,-2.548422422104465,1.7290033724608938,-0.8970711521252408,0.6018329017593627,-16.493884739093566,4.166746337311231,0,2024-09-27 16:25:10.077692871,1727454310.077694,2024-09-27 16:25:10.077693952,0,1.0,0.1,0.7725530557207989,[0.29880418 0.70119582],[0.29880418 0.70119582],"[ 0.88888889  0.33203125  0.52734375  1.          0.          1.
  1.          0.          1.          0.3515625  -0.8         0.5       ]",0.06905623367687098,0,0
5,5,2024-09-27 16:25:10.400019712,TASK_BEGIN,21,-0.015529710234987,0.0500983163615951,-3.233962123185542,2.0142057923722088,-1.3275075411352106,0.7116597457811289,-15.570703674600011,4.411364663477928,0,2024-09-27 16:25:10.077692871,1727454310.077694,2024-09-27 16:25:10.077693952,0,1.0,0.1,0.7725530557207989,[0.29880418 0.70119582],[0.29880418 0.70119582],"[ 0.88888889  0.33203125  0.52734375  1.          0.          1.
  1.          0.          1.          0.3515625  -0.8         0.5       ]",0.06905623367687098,0,0
6,6,2024-09-27 16:25:10.467685120,TASK_BEGIN,21,-0.0104454513409035,0.0731631618487191,-3.841029822149437,2.2595638795000226,-1.6898692004896425,0.8067838907305669,-14.715109022568855,4.625950315145597,0,2024-09-27 16:25:10.077692871,1727454310.077694,2024-09-27 16:25:10.077693952,0,1.0,0.1,0.7725530557207989,[0.29880418 0.70119582],[0.29880418 0.70119582],"[ 0.88888889  0.33203125  0.52734375  1.          0.          1.
  1.          0.          1.          0.3515625  -0.8         0.5       ]",0.06905623367687098,0,0
7,7,2024-09-27 16:25:11.411534080,TASK_BEGIN,21,-0.001561869354921,0.0902587107721042,-4.365331875770409,2.4646090055827807,-1.9814255831476173,0.885598486282346,-13.902735702996596,4.804062474764284,0,2024-09-27 16:25:11.402158936,1727454311.4021592,2024-09-27 16:25:11.402159104,0,0.0,0.1,2.894467727277078,[9.99999683e-01 3.17115106e-07],[9.99999683e-01 3.17115106e-07],"[ 0.52777778  0.33203125  0.52734375  1.          0.          1.
  1.          0.          1.          0.34960938  1.         -0.16666667]",0.41261289045268695,0,0
8,8,2024-09-27 16:25:11.479271936,TASK_BEGIN,21,0.0103762709786531,0.1012921491082715,-4.804878622258896,2.6308395270580704,-2.2026112610412283,0.9469749351561728,-13.10410064839527,4.9397292927909,0,2024-09-27 16:25:11.453114014,1727454311.4531145,2024-09-27 16:25:11.453114624,0,0.0,0.1,2.965523050004307,[9.99997129e-01 2.87056251e-06],[9.99997129e-01 2.87056251e-06],"[ 0.51388889  0.33203125  0.52734375  1.          0.          1.
  1.          0.          1.          0.36914062  1.         -0.2       ]",0.4310438559840018,0,0
9,9,2024-09-27 16:25:11.546993920,TASK_BEGIN,21,0.0244349396806894,0.1063987998670538,-5.159535877096078,2.7611599585767426,-2.3564990342208687,0.9902870499216132,-12.290447040941157,5.028040941207164,0,2024-09-27 16:25:11.453114014,1727454311.4531145,2024-09-27 16:25:11.453114624,0,0.0,0.1,2.965523050004307,[9.99997129e-01 2.87056251e-06],[9.99997129e-01 2.87056251e-06],"[ 0.51388889  0.33203125  0.52734375  1.          0.          1.
  1.          0.          1.          0.36914062  1.         -0.2       ]",0.4310438559840018,0,0
10,10,2024-09-27 16:25:11.614649856,TASK_BEGIN,21,0.0395184781387579,0.1059235466200925,-5.430752210096404,2.859349329342805,-2.4483453262163883,1.0154784940411667,-11.438612463633936,5.065780364476301,0,2024-09-27 16:25:11.606158936,1727454311.6061592,2024-09-27 16:25:11.606159104,0,0.0,0.1,3.17445404989613,[9.99566853e-01 4.33147292e-04],[9.99566853e-01 4.33147292e-04],"[ 0.47222222  0.33203125  0.52734375  0.97222222  0.234375    0.4296875
  1.          0.          1.          0.42773438  1.         -0.3       ]",0.5007896045389156,0,0
11,11,2024-09-27 16:25:11.682425088,TASK_BEGIN,21,0.0543880987156669,0.1004023767542534,-5.621269457131676,2.929579710853345,-2.4851625952641214,1.023127931160165,-10.533736770081315,5.051843678805653,0,2024-09-27 16:25:11.657113037,1727454311.6571136,2024-09-27 16:25:11.657113600,0,0.0,0.1,3.2427095093971685,[0.9868747 0.0131253],[0.9868747 0.0131253],"[ 0.45833333  0.33203125  0.52734375  0.95833333  0.234375    0.4296875
  1.          0.          1.          0.44726562  1.         -0.33333333]",0.54379899569152,0,0
